iter	Quantile:alpha=0.5
0	0.2330861129
1	0.2328335503
2	0.2335015337
3	0.2332305491
4	0.2329633181
5	0.2328451673
6	0.2327585667
7	0.2327767946
8	0.2332952453
9	0.2332219249
10	0.2331530671
11	0.2330579176
12	0.2329632333
13	0.232995541
14	0.2334717484
15	0.2332501472
16	0.2332058834
17	0.2335974478
18	0.2336598134
19	0.2339374332
20	0.23379051
21	0.2337850565
22	0.233805878
23	0.2337998339
24	0.2337338231
25	0.2337577277
26	0.2337063028
27	0.2336777571
28	0.2338658026
29	0.2341764132
30	0.234472371
31	0.2342465077
32	0.2345088755
33	0.2344274927
34	0.2345329595
35	0.2345638844
36	0.234776318
37	0.2346621204
38	0.2345276605
39	0.2343206819
40	0.2341544445
41	0.2341470223
42	0.2341268116
43	0.2340477008
44	0.234202803
45	0.234354314
46	0.2343310134
47	0.2341961885
48	0.2342279364
49	0.2343393977
50	0.2342541315
51	0.2343068585
52	0.2342774426
53	0.2341243844
54	0.2342221314
55	0.2343282996
56	0.2342472328
57	0.2342064959
58	0.2342956431
59	0.2341750846
60	0.2340178998
61	0.2338580549
62	0.2338018305
63	0.2336674088
64	0.2335410336
65	0.233603595
66	0.2335536072
67	0.2334980664
68	0.2335290825
69	0.233481669
70	0.2333668629
71	0.2334025032
72	0.2334426241
73	0.2334927155
74	0.2335246261
75	0.2334592952
76	0.233404019
77	0.2333224208
78	0.2332038913
79	0.2332248148
80	0.2331171787
81	0.2330592723
82	0.2330281636
83	0.2329804201
84	0.2329532911
85	0.2328496444
86	0.2328670514
87	0.2327726141
88	0.2327503813
89	0.2326990843
90	0.2326988809
91	0.2327201008
92	0.2326302761
93	0.232655171
94	0.2325454954
95	0.2325565548
96	0.2324413952
97	0.2324226798
98	0.2324173513
99	0.2323787797
100	0.2322951489
101	0.2322157968
102	0.2322229951
103	0.2322379869
104	0.2322383639
105	0.2322456312
106	0.2321439685
107	0.2321806984
108	0.2322241849
109	0.2321379613
110	0.2320515485
111	0.2319523868
112	0.2319446275
113	0.2319507327
114	0.2318970944
115	0.2318930702
116	0.2318952652
117	0.2318985309
118	0.2318981459
119	0.2319014644
120	0.2318978697
121	0.2319008921
122	0.2319052171
123	0.2319996558
124	0.2320068995
125	0.232015301
126	0.2319730476
127	0.2319759832
128	0.2319738083
129	0.2319298288
130	0.2319260985
131	0.2319276889
132	0.2319098473
133	0.2319172316
134	0.2319120728
135	0.2318695462
136	0.2318548515
137	0.2318563215
138	0.2318099152
139	0.2318267276
140	0.2318090609
141	0.2318144324
142	0.2318197724
143	0.2317132208
144	0.2317191035
145	0.2317200061
146	0.2317323834
147	0.2317307085
148	0.2316731399
149	0.231674885
150	0.2316793069
151	0.2316804487
152	0.2316787857
153	0.2316794003
154	0.2316564975
155	0.2316428562
156	0.2316391661
157	0.2316395233
158	0.2316404626
159	0.2316421048
160	0.2316440333
161	0.2316438536
162	0.2316425062
163	0.2315895616
164	0.2315897427
165	0.2315577958
166	0.2315459318
167	0.2315461624
168	0.23154654
169	0.2315463811
170	0.2315506117
171	0.2315557025
172	0.2315024458
173	0.2315069946
174	0.2315072938
175	0.2314527594
176	0.231463507
177	0.2314671893
178	0.2314681184
179	0.2314683649
180	0.231468498
181	0.2314630731
182	0.2313991113
183	0.2313738546
184	0.2313735069
185	0.2313453257
186	0.231345153
187	0.2313452618
188	0.2313453635
189	0.2313528484
190	0.2313329375
191	0.2313316003
192	0.2313317642
193	0.2313315219
194	0.2313315177
195	0.2313161325
196	0.2313162849
197	0.2313165797
198	0.231316645
199	0.2313167192
200	0.2313147724
201	0.2313226661
202	0.2313203466
203	0.2313203932
204	0.2313332083
205	0.2313478709
206	0.2313479195
207	0.2313469458
208	0.2313250531
209	0.2313235629
210	0.2313253651
211	0.2313226893
212	0.2313273625
213	0.2313319569
214	0.2312206248
215	0.2312254
216	0.2311974005
217	0.2311974159
218	0.2311976476
219	0.2312168759
220	0.2312074321
221	0.2312448582
222	0.2312530311
223	0.2312166559
224	0.2312166945
225	0.2310714151
226	0.231010715
227	0.2310107363
